"Buy Wine","Weine kaufen"
"Sell Wine","Weine verkaufen"
"Wine Information","Weinwissen"
"I confirm that I'm over 18 years old","Hiermit bestätige ich dass ich über 18 Jahre alt bin"
"Create an account","Benutzerkonto anlegen"
"All fields are required","Alle Felder müssen ausgefüllt werden"
"Newsletter from Lucullus and its advantages:","Weinpost der Lucullus und Ihre Vorteile:"
"Subscribe now to not miss:","Abonnieren Sie jetzt unsere kostenlose Weinpost und freuen Sie sich auf:"
"Current offers","Aktuelle Angebote"
"Attractive wine recommendations","Attraktive Weinempfehlungen"
"Information about wines and their producers","Informationen zu Weinen und Winzern"
"Your e-mail address will be used exclusively for sending our newsletter.","Ihre E-Mail-Adresse wird aussschliesslich für den Versand unseres Newsletters verwendet."
"We do not give away addresses to third parties.","Wir geben keine Adressen an Dritte weiter."
"You can unsubscribe easily at any time.","Sie können sich jederzeit wieder abmelden."
" I have read and agree to the Data Protection Policy.",""
"I have read and agree to the <a href=""%1"" target=""_blank"">Data Protection Policy</a>.","Ich habe die <a href=""%1"" target=""_blank"">Datenschutzerklärung</a> gelesen und bin damit einverstanden."
"Price list Excel","Preisliste Excel"
"Price list PDF","Preisliste PDF"
"Price list","Preisliste"
"My Wishlist","Meine Wunschliste"
"Register","Registrieren"
"Log In","Anmelden"
"Back to Login","Zurück zur Anmeldung"
"Telephone","Telefon"
"Office opening hours:","Unsere Büro-Öffnungszeiten:"
"For collections/deliveries these hours also apply but please telephone us beforehand.","Weinabholungen zu unseren Büro-Öffnungszeiten nach telefonischer Vereinbarung."
"excl. VAT","exkl. MwSt"
"incl. VAT","inkl. MwSt"
"excl. 7.7% VAT","exkl. 7.7% MwSt"
"incl. 7.7% VAT","inkl. 7.7% MwSt"
"Log Out","Abmelden"
"The invoice must be paid in advance and within 15 days.","Die Rechnung ist im Voraus und nach Erhalt innert 15 Tagen zahlbar."
"The delivery or collection will only be possible after we have received your payment in full.","Die Lieferung oder Abholung erfolgt nach Zahlungseingang."
"Price/bt.","Preis/Fl."
"Available quantity","Verfügbare Menge"
"Score","Wertung"
"Scores","Wertungen"
"Stock","Lager"
"Enter Keyword or Item","Geben Sie hier ihren Suchbegriff ein"
"Vintage","Jahr"
"Rating","Wertung"
"Filter By","Filtern nach"
"Additionally Shipping costs plus %1 of %2,- for orders below %3,-.","Zzgl. Versandkosten und einem %1 über %2,- bei Bestellungen unter %3,-."
"Categories","Land/Region"
"Country/Region","Land/Region"
"Load more products","Weitere Produkte laden"
"Show more","mehr"
"Show less","weniger"
"Active Filter: ","Aktive Filter: "
"Search entire store here...","Welchen Wein suchen Sie?"
"PLEASE INFORM ME","INFORMIEREN SIE MICH"
"Please inform me","Informieren sie mich"
"As soon as the prices for this article are available please send me via E-Mail an offer without obligation.","Sobald die Preise zu diesem Artikel verfügbar sind, senden wir Ihnen eine unverbindliche Offerte per E-Mail."
"LOGIN FOR EXISTING CUSTOMERS","LOGIN FÜR BESTEHENDE KUNDEN"
"Login for Existing customers","LOGIN FÜR BESTEHENDE KUNDEN"
"Please login here with your E-Mail and password.","Bitte loggen Sie sich hier mit Ihrer E-Mail-Adresse und Ihrem Passwort ein."
"Login","Anmelden"
"NEW AT LUCULLUS?","Neu bei Lucullus?"
"New at lucullus?","Neu bei Lucullus?"
"Please first register here.","Bitte hier registrieren."
"REQUEST INFORMATION WITHOUT REGISTRATION","KEINE REGISTRIERUNG ERWÜNSCHT"
"Request information without registration","KEINE REGISTRIERUNG ERWÜNSCHT"
"Please enter here your E-Mail address","Bitte hier E-Mail-Adresse einfügen"
"Email Address","E-Mail-Adresse"
"Submit","Absenden"
"Many thanks for your interest. We will inform you about prices and availability is as soon as possible.","Besten Dank für Ihr Interesse. Gerne informieren Sie über Preis und Verfügbarkeit zum gewünschten Artikel."
"primeur_price","a. A."
"primeur price","a. A."
"Thank you very much for your inquiry","Vielen Dank für Ihre Anfrage"
"to be confirmed","auf Anfrage"
"Yes, I agree","Ja, stimme zu"
"I have read and agree to the <a href=""%s"" target=""_blank"">Data Protection Policy</a>.","Ich habe die <a href=""%s"" target=""_blank"">Datenschutzerklärung</a> gelesen und bin damit einverstanden."
"Position","Standard"
"Product Name","Weinbezeichnung"
"Erzeuger","Produzent"
"Preis/Fl.","Preis"
"Bestand","Lagerbestand"
"Did you mean ","Meinten Sie "
"Did you mean %1?","Meinten Sie %1?"
"Category ","Kategorie"
"sku","Artikelnummer"
"Sku","Artikelnummer"
"SKU","Artikelnummer"
"Steuer","Mehrwertsteuer"
"Subtotal","Zwischensumme exkl. MwSt"
"Tax","Mehrwertsteuer 7.7%"
"Order Total Incl. Tax","Gesamtsumme inkl. MwSt"
"Order Total Excl. Tax","Gesamtsumme exkl. MwSt"
"Clear All","Alle entfernen"
"results","Ergebnisse"
"results","Ergebnisse"
"%1 results","%1 Ergebnisse"
"%1 Results","%1 Ergebnisse"
"Active Filter","Aktive Filter"
"Active Filter ","Aktive Filter "
"Active Filter:","Aktive Filter:"
"Shipping cost will always be charged.","Die Preise verstehen sich immer zzgl. Versandkosten."
"Ratings & tasting notes","Bewertungen und Degustationsnotizen"
"Additionally Shipping costs plus %1 of %2,- for orders below %3,-.","Zzgl. Versandkosten und einem %1 über %2,- bei Bestellungen unter %3,-."
"Schweiz","Schweiz/Liechtenstein"
